entry_time,exit_time,candidate_no,strategy,pnl_pips,equity_pips,drawdown_pips
2021-02-18 10:30:00,2021-02-18 23:55:00,1,"MACDクロス(12,21,12)",5.4,5.4,0.0
2021-02-22 10:25:00,2021-02-22 11:15:00,1,"MACDクロス(12,21,12)",20.0,25.4,0.0
2021-02-23 09:10:00,2021-02-23 17:35:00,1,"MACDクロス(12,21,12)",20.0,45.4,0.0
2021-02-26 12:15:00,2021-02-26 13:35:00,1,"MACDクロス(12,21,12)",20.0,65.4,0.0
2021-03-18 13:05:00,2021-03-18 16:25:00,1,"MACDクロス(12,21,12)",20.0,85.4,0.0
2021-03-19 13:40:00,2021-03-19 17:05:00,1,"MACDクロス(12,21,12)",-20.0,65.4,-20.0
2021-04-07 11:10:00,2021-04-07 16:30:00,1,"MACDクロス(12,21,12)",20.0,85.4,0.0
2021-04-09 10:45:00,2021-04-09 16:10:00,1,"MACDクロス(12,21,12)",20.0,105.4,0.0
2021-04-12 11:55:00,2021-04-12 18:30:00,1,"MACDクロス(12,21,12)",-20.0,85.4,-20.0
2021-04-14 09:55:00,2021-04-14 16:35:00,1,"MACDクロス(12,21,12)",-20.0,65.4,-40.0
2021-04-19 09:55:00,2021-04-19 16:30:00,1,"MACDクロス(12,21,12)",20.0,85.4,-20.0
2021-04-20 09:40:00,2021-04-20 10:50:00,1,"MACDクロス(12,21,12)",20.0,105.4,0.0
2021-04-21 10:00:00,2021-04-21 11:05:00,1,"MACDクロス(12,21,12)",-20.0,85.4,-20.0
2021-04-21 11:30:00,2021-04-21 16:40:00,1,"MACDクロス(12,21,12)",20.0,105.4,0.0
2021-04-23 10:30:00,2021-04-23 21:00:00,1,"MACDクロス(12,21,12)",-20.0,85.4,-20.0
2021-06-21 12:00:00,2021-06-21 12:30:00,1,"MACDクロス(12,21,12)",-20.0,65.4,-40.0
2021-06-21 13:15:00,2021-06-21 16:45:00,1,"MACDクロス(12,21,12)",20.0,85.4,-20.0
2021-07-07 10:30:00,2021-07-07 15:15:00,1,"MACDクロス(12,21,12)",20.0,105.4,0.0
2021-07-15 10:40:00,2021-07-15 21:15:00,1,"MACDクロス(12,21,12)",20.0,125.4,0.0
2021-07-19 09:25:00,2021-07-19 17:35:00,1,"MACDクロス(12,21,12)",-20.0,105.4,-20.0
2021-07-20 13:50:00,2021-07-20 16:30:00,1,"MACDクロス(12,21,12)",20.0,125.4,0.0
2021-08-16 10:20:00,2021-08-16 19:20:00,1,"MACDクロス(12,21,12)",-20.0,105.4,-20.0
2021-08-20 11:30:00,2021-08-20 23:55:00,1,"MACDクロス(12,21,12)",5.3,110.7,-14.7
2021-09-16 11:50:00,2021-09-16 21:30:00,1,"MACDクロス(12,21,12)",20.0,130.7,0.0
2021-09-22 09:30:00,2021-09-22 10:10:00,1,"MACDクロス(12,21,12)",20.0,150.7,0.0
2021-10-01 11:15:00,2021-10-01 13:05:00,1,"MACDクロス(12,21,12)",-20.0,130.7,-20.0
2021-10-01 13:55:00,2021-10-01 22:45:00,1,"MACDクロス(12,21,12)",-20.0,110.7,-40.0
2021-10-04 09:25:00,2021-10-04 16:25:00,1,"MACDクロス(12,21,12)",20.0,130.7,-20.0
2021-10-05 10:05:00,2021-10-05 12:45:00,1,"MACDクロス(12,21,12)",20.0,150.7,0.0
2021-10-18 11:05:00,2021-10-18 12:10:00,1,"MACDクロス(12,21,12)",-20.0,130.7,-20.0
2021-10-19 11:00:00,2021-10-19 15:30:00,1,"MACDクロス(12,21,12)",-20.0,110.7,-40.0
2021-10-21 14:05:00,2021-10-21 21:50:00,1,"MACDクロス(12,21,12)",-20.0,90.7,-60.0
2021-11-02 14:35:00,2021-11-02 17:55:00,1,"MACDクロス(12,21,12)",-20.0,70.7,-80.0
2021-11-05 11:15:00,2021-11-05 19:05:00,1,"MACDクロス(12,21,12)",20.0,90.7,-60.0
2021-11-09 13:10:00,2021-11-09 21:55:00,1,"MACDクロス(12,21,12)",20.0,110.7,-40.0
2021-11-18 11:45:00,2021-11-18 14:05:00,1,"MACDクロス(12,21,12)",20.0,130.7,-20.0
2021-11-26 10:00:00,2021-11-26 11:40:00,1,"MACDクロス(12,21,12)",-20.0,110.7,-40.0
2021-11-26 12:35:00,2021-11-26 15:20:00,1,"MACDクロス(12,21,12)",-20.0,90.7,-60.0
2021-11-29 12:35:00,2021-11-29 14:25:00,1,"MACDクロス(12,21,12)",-20.0,70.7,-80.0
2021-12-08 10:40:00,2021-12-08 17:35:00,1,"MACDクロス(12,21,12)",-20.0,50.7,-100.0
2021-12-17 13:45:00,2021-12-17 21:20:00,1,"MACDクロス(12,21,12)",-20.0,30.7,-120.0
2022-01-05 12:40:00,2022-01-05 19:10:00,1,"MACDクロス(12,21,12)",-20.0,10.7,-140.0
2022-01-06 13:00:00,2022-01-06 23:55:00,1,"MACDクロス(12,21,12)",8.2,18.9,-131.8
2022-01-13 11:10:00,2022-01-13 16:55:00,1,"MACDクロス(12,21,12)",-20.0,-1.1,-151.8
2022-01-14 11:45:00,2022-01-14 22:30:00,1,"MACDクロス(12,21,12)",-20.0,-21.1,-171.8
2022-01-20 11:00:00,2022-01-20 12:45:00,1,"MACDクロス(12,21,12)",20.0,-1.1,-151.8
2022-01-21 09:00:00,2022-01-21 09:40:00,1,"MACDクロス(12,21,12)",-20.0,-21.1,-171.8
2022-01-21 10:30:00,2022-01-21 11:55:00,1,"MACDクロス(12,21,12)",-20.0,-41.1,-191.8
2022-01-21 13:00:00,2022-01-21 17:05:00,1,"MACDクロス(12,21,12)",20.0,-21.1,-171.8
2022-02-14 11:30:00,2022-02-14 17:15:00,1,"MACDクロス(12,21,12)",-20.0,-41.1,-191.8
2022-02-17 14:00:00,2022-02-17 17:25:00,1,"MACDクロス(12,21,12)",-20.0,-61.1,-211.8
2022-02-22 10:50:00,2022-02-22 17:25:00,1,"MACDクロス(12,21,12)",-20.0,-81.1,-231.8
2022-02-24 09:35:00,2022-02-24 10:50:00,1,"MACDクロス(12,21,12)",-20.0,-101.1,-251.8
2022-02-24 13:50:00,2022-02-24 15:15:00,1,"MACDクロス(12,21,12)",-20.0,-121.1,-271.8
2022-03-04 10:05:00,2022-03-04 23:50:00,1,"MACDクロス(12,21,12)",-20.0,-141.1,-291.8
2022-03-25 12:20:00,2022-03-25 13:10:00,1,"MACDクロス(12,21,12)",20.0,-121.1,-271.8
2022-03-25 13:55:00,2022-03-25 14:30:00,1,"MACDクロス(12,21,12)",20.0,-101.1,-251.8
2022-03-29 13:20:00,2022-03-29 14:20:00,1,"MACDクロス(12,21,12)",20.0,-81.1,-231.8
2022-03-30 10:55:00,2022-03-30 11:10:00,1,"MACDクロス(12,21,12)",-20.0,-101.1,-251.8
2022-03-30 11:25:00,2022-03-30 11:40:00,1,"MACDクロス(12,21,12)",20.0,-81.1,-231.8
2022-03-30 12:45:00,2022-03-30 13:05:00,1,"MACDクロス(12,21,12)",20.0,-61.1,-211.8
2022-04-04 10:10:00,2022-04-04 11:10:00,1,"MACDクロス(12,21,12)",20.0,-41.1,-191.8
2022-04-05 10:50:00,2022-04-05 16:25:00,1,"MACDクロス(12,21,12)",20.0,-21.1,-171.8
2022-04-07 10:10:00,2022-04-07 19:55:00,1,"MACDクロス(12,21,12)",20.0,-1.1,-151.8
2022-04-14 09:35:00,2022-04-14 10:55:00,1,"MACDクロス(12,21,12)",-20.0,-21.1,-171.8
2022-04-14 11:25:00,2022-04-14 12:25:00,1,"MACDクロス(12,21,12)",-20.0,-41.1,-191.8
2022-04-22 14:35:00,2022-04-22 14:55:00,1,"MACDクロス(12,21,12)",-20.0,-61.1,-211.8
2022-04-25 12:15:00,2022-04-25 15:35:00,1,"MACDクロス(12,21,12)",-20.0,-81.1,-231.8
2022-04-26 10:05:00,2022-04-26 11:40:00,1,"MACDクロス(12,21,12)",20.0,-61.1,-211.8
2022-05-02 09:55:00,2022-05-02 12:15:00,1,"MACDクロス(12,21,12)",20.0,-41.1,-191.8
2022-05-05 09:50:00,2022-05-05 10:05:00,1,"MACDクロス(12,21,12)",-20.0,-61.1,-211.8
2022-05-05 11:05:00,2022-05-05 12:20:00,1,"MACDクロス(12,21,12)",20.0,-41.1,-191.8
2022-05-10 10:35:00,2022-05-10 10:55:00,1,"MACDクロス(12,21,12)",20.0,-21.1,-171.8
2022-05-12 09:55:00,2022-05-12 15:20:00,1,"MACDクロス(12,21,12)",-20.0,-41.1,-191.8
2022-05-16 11:55:00,2022-05-16 16:25:00,1,"MACDクロス(12,21,12)",20.0,-21.1,-171.8
2022-05-19 09:25:00,2022-05-19 09:35:00,1,"MACDクロス(12,21,12)",20.0,-1.1,-151.8
2022-05-20 13:50:00,2022-05-20 15:10:00,1,"MACDクロス(12,21,12)",20.0,18.9,-131.8
2022-05-23 11:45:00,2022-05-23 14:35:00,1,"MACDクロス(12,21,12)",20.0,38.9,-111.8
2022-05-27 10:20:00,2022-05-27 10:30:00,1,"MACDクロス(12,21,12)",-20.0,18.9,-131.8
2022-05-27 10:40:00,2022-05-27 11:30:00,1,"MACDクロス(12,21,12)",20.0,38.9,-111.8
2022-06-10 14:10:00,2022-06-10 15:30:00,1,"MACDクロス(12,21,12)",-20.0,18.9,-131.8
2022-06-14 10:00:00,2022-06-14 10:20:00,1,"MACDクロス(12,21,12)",20.0,38.9,-111.8
2022-06-23 12:35:00,2022-06-23 13:05:00,1,"MACDクロス(12,21,12)",-20.0,18.9,-131.8
2022-06-24 09:20:00,2022-06-24 10:20:00,1,"MACDクロス(12,21,12)",-20.0,-1.1,-151.8
2022-06-27 10:40:00,2022-06-27 11:45:00,1,"MACDクロス(12,21,12)",20.0,18.9,-131.8
2022-07-01 12:55:00,2022-07-01 14:00:00,1,"MACDクロス(12,21,12)",-20.0,-1.1,-151.8
2022-07-01 14:10:00,2022-07-01 14:50:00,1,"MACDクロス(12,21,12)",-20.0,-21.1,-171.8
2022-07-08 12:50:00,2022-07-08 16:10:00,1,"MACDクロス(12,21,12)",20.0,-1.1,-151.8
2022-07-22 09:15:00,2022-07-22 10:05:00,1,"MACDクロス(12,21,12)",20.0,18.9,-131.8
2022-07-25 11:50:00,2022-07-25 15:15:00,1,"MACDクロス(12,21,12)",20.0,38.9,-111.8
2022-07-28 09:20:00,2022-07-28 10:00:00,1,"MACDクロス(12,21,12)",-20.0,18.9,-131.8
2022-07-28 10:05:00,2022-07-28 10:10:00,1,"MACDクロス(12,21,12)",20.0,38.9,-111.8
2022-07-28 11:15:00,2022-07-28 11:30:00,1,"MACDクロス(12,21,12)",-20.0,18.9,-131.8
2022-07-28 14:50:00,2022-07-28 16:15:00,1,"MACDクロス(12,21,12)",-20.0,-1.1,-151.8
2022-07-29 13:35:00,2022-07-29 14:15:00,1,"MACDクロス(12,21,12)",-20.0,-21.1,-171.8
2022-07-29 14:40:00,2022-07-29 15:25:00,1,"MACDクロス(12,21,12)",20.0,-1.1,-151.8
2022-08-01 11:00:00,2022-08-01 12:10:00,1,"MACDクロス(12,21,12)",20.0,18.9,-131.8
2022-08-01 13:20:00,2022-08-01 14:00:00,1,"MACDクロス(12,21,12)",-20.0,-1.1,-151.8
2022-08-01 14:25:00,2022-08-01 15:55:00,1,"MACDクロス(12,21,12)",20.0,18.9,-131.8
2022-08-02 10:55:00,2022-08-02 12:10:00,1,"MACDクロス(12,21,12)",20.0,38.9,-111.8
2022-08-02 13:25:00,2022-08-02 14:25:00,1,"MACDクロス(12,21,12)",20.0,58.9,-91.8
2022-08-05 09:10:00,2022-08-05 10:05:00,1,"MACDクロス(12,21,12)",20.0,78.9,-71.8
2022-08-15 10:25:00,2022-08-15 12:15:00,1,"MACDクロス(12,21,12)",20.0,98.9,-51.8
2022-09-08 13:45:00,2022-09-08 14:45:00,1,"MACDクロス(12,21,12)",-20.0,78.9,-71.8
2022-09-08 14:50:00,2022-09-08 15:15:00,1,"MACDクロス(12,21,12)",20.0,98.9,-51.8
2022-09-09 10:00:00,2022-09-09 10:20:00,1,"MACDクロス(12,21,12)",-20.0,78.9,-71.8
2022-09-09 10:25:00,2022-09-09 12:15:00,1,"MACDクロス(12,21,12)",20.0,98.9,-51.8
2022-09-09 12:20:00,2022-09-09 12:20:00,1,"MACDクロス(12,21,12)",20.0,118.9,-31.8
2022-09-09 14:00:00,2022-09-09 15:00:00,1,"MACDクロス(12,21,12)",20.0,138.9,-11.8
2022-09-12 11:15:00,2022-09-12 11:40:00,1,"MACDクロス(12,21,12)",20.0,158.9,0.0
2022-09-13 09:55:00,2022-09-13 10:55:00,1,"MACDクロス(12,21,12)",20.0,178.9,0.0
2022-09-13 11:00:00,2022-09-13 11:30:00,1,"MACDクロス(12,21,12)",-20.0,158.9,-20.0
2022-09-16 10:25:00,2022-09-16 10:50:00,1,"MACDクロス(12,21,12)",20.0,178.9,0.0
2022-09-23 09:25:00,2022-09-23 09:45:00,1,"MACDクロス(12,21,12)",-20.0,158.9,-20.0
2022-09-23 10:50:00,2022-09-23 12:05:00,1,"MACDクロス(12,21,12)",-20.0,138.9,-40.0
2022-09-23 12:15:00,2022-09-23 12:30:00,1,"MACDクロス(12,21,12)",-20.0,118.9,-60.0
2022-10-25 09:10:00,2022-10-25 09:50:00,1,"MACDクロス(12,21,12)",-20.0,98.9,-80.0
2022-10-27 09:40:00,2022-10-27 10:00:00,1,"MACDクロス(12,21,12)",-20.0,78.9,-100.0
2022-10-27 10:15:00,2022-10-27 11:05:00,1,"MACDクロス(12,21,12)",-20.0,58.9,-120.0
2022-11-01 12:15:00,2022-11-01 14:55:00,1,"MACDクロス(12,21,12)",-20.0,38.9,-140.0
2022-11-02 10:45:00,2022-11-02 13:00:00,1,"MACDクロス(12,21,12)",20.0,58.9,-120.0
2022-11-09 09:15:00,2022-11-09 09:50:00,1,"MACDクロス(12,21,12)",20.0,78.9,-100.0
2022-11-09 12:30:00,2022-11-09 14:20:00,1,"MACDクロス(12,21,12)",20.0,98.9,-80.0
2022-11-14 11:20:00,2022-11-14 12:05:00,1,"MACDクロス(12,21,12)",-20.0,78.9,-100.0
2022-11-14 12:20:00,2022-11-14 13:10:00,1,"MACDクロス(12,21,12)",-20.0,58.9,-120.0
2022-11-16 09:10:00,2022-11-16 09:25:00,1,"MACDクロス(12,21,12)",20.0,78.9,-100.0
2022-11-24 11:20:00,2022-11-24 12:10:00,1,"MACDクロス(12,21,12)",-20.0,58.9,-120.0
2022-11-24 12:15:00,2022-11-24 14:50:00,1,"MACDクロス(12,21,12)",-20.0,38.9,-140.0
2022-12-01 10:40:00,2022-12-01 10:50:00,1,"MACDクロス(12,21,12)",-20.0,18.9,-160.0
2022-12-01 13:35:00,2022-12-01 14:15:00,1,"MACDクロス(12,21,12)",20.0,38.9,-140.0
2022-12-02 11:40:00,2022-12-02 12:30:00,1,"MACDクロス(12,21,12)",-20.0,18.9,-160.0
2022-12-09 11:15:00,2022-12-09 11:50:00,1,"MACDクロス(12,21,12)",-20.0,-1.1,-180.0
2022-12-09 12:05:00,2022-12-09 14:50:00,1,"MACDクロス(12,21,12)",-20.0,-21.1,-200.0
2022-12-14 10:30:00,2022-12-14 14:25:00,1,"MACDクロス(12,21,12)",-20.0,-41.1,-220.0
2022-12-19 09:25:00,2022-12-19 09:40:00,1,"MACDクロス(12,21,12)",20.0,-21.1,-200.0
2022-12-19 11:10:00,2022-12-19 11:10:00,1,"MACDクロス(12,21,12)",20.0,-1.1,-180.0
2022-12-20 13:25:00,2022-12-20 13:30:00,1,"MACDクロス(12,21,12)",20.0,18.9,-160.0
2023-01-03 11:15:00,2023-01-03 11:30:00,1,"MACDクロス(12,21,12)",-20.0,-1.1,-180.0
2023-01-03 11:40:00,2023-01-03 13:10:00,1,"MACDクロス(12,21,12)",20.0,18.9,-160.0
2023-01-09 09:30:00,2023-01-09 10:00:00,1,"MACDクロス(12,21,12)",-20.0,-1.1,-180.0
2023-01-09 10:05:00,2023-01-09 10:20:00,1,"MACDクロス(12,21,12)",-20.0,-21.1,-200.0
2023-01-09 10:25:00,2023-01-09 10:35:00,1,"MACDクロス(12,21,12)",-20.0,-41.1,-220.0
2023-01-09 12:20:00,2023-01-09 14:00:00,1,"MACDクロス(12,21,12)",20.0,-21.1,-200.0
2023-01-10 11:15:00,2023-01-10 11:40:00,1,"MACDクロス(12,21,12)",20.0,-1.1,-180.0
2023-01-12 09:50:00,2023-01-12 10:10:00,1,"MACDクロス(12,21,12)",20.0,18.9,-160.0
2023-01-12 10:55:00,2023-01-12 13:55:00,1,"MACDクロス(12,21,12)",20.0,38.9,-140.0
2023-01-13 09:50:00,2023-01-13 10:20:00,1,"MACDクロス(12,21,12)",-20.0,18.9,-160.0
2023-01-13 10:30:00,2023-01-13 11:10:00,1,"MACDクロス(12,21,12)",-20.0,-1.1,-180.0
2023-01-13 11:15:00,2023-01-13 14:30:00,1,"MACDクロス(12,21,12)",20.0,18.9,-160.0
2023-01-16 12:15:00,2023-01-16 13:55:00,1,"MACDクロス(12,21,12)",20.0,38.9,-140.0
2023-01-19 09:45:00,2023-01-19 10:45:00,1,"MACDクロス(12,21,12)",20.0,58.9,-120.0
2023-01-19 14:55:00,2023-01-19 16:15:00,1,"MACDクロス(12,21,12)",20.0,78.9,-100.0
2023-01-30 14:10:00,2023-01-30 14:45:00,1,"MACDクロス(12,21,12)",20.0,98.9,-80.0
2023-02-02 09:55:00,2023-02-02 10:10:00,1,"MACDクロス(12,21,12)",20.0,118.9,-60.0
2023-02-24 09:55:00,2023-02-24 09:55:00,1,"MACDクロス(12,21,12)",-20.0,98.9,-80.0
2023-02-24 10:20:00,2023-02-24 10:20:00,1,"MACDクロス(12,21,12)",-20.0,78.9,-100.0
2023-03-10 10:40:00,2023-03-10 11:30:00,1,"MACDクロス(12,21,12)",20.0,98.9,-80.0
2023-03-13 10:30:00,2023-03-13 10:50:00,1,"MACDクロス(12,21,12)",20.0,118.9,-60.0
2023-03-13 12:35:00,2023-03-13 13:05:00,1,"MACDクロス(12,21,12)",20.0,138.9,-40.0
2023-03-14 09:50:00,2023-03-14 09:55:00,1,"MACDクロス(12,21,12)",-20.0,118.9,-60.0
2023-03-14 10:05:00,2023-03-14 10:15:00,1,"MACDクロス(12,21,12)",20.0,138.9,-40.0
2023-03-16 09:50:00,2023-03-16 09:50:00,1,"MACDクロス(12,21,12)",-20.0,118.9,-60.0
2023-03-16 13:50:00,2023-03-16 14:15:00,1,"MACDクロス(12,21,12)",20.0,138.9,-40.0
2023-03-20 13:05:00,2023-03-20 13:30:00,1,"MACDクロス(12,21,12)",-20.0,118.9,-60.0
2023-03-20 13:35:00,2023-03-20 15:20:00,1,"MACDクロス(12,21,12)",20.0,138.9,-40.0
2023-03-21 09:40:00,2023-03-21 15:15:00,1,"MACDクロス(12,21,12)",-20.0,118.9,-60.0
2023-03-23 10:40:00,2023-03-23 11:20:00,1,"MACDクロス(12,21,12)",-20.0,98.9,-80.0
2023-03-23 11:30:00,2023-03-23 12:15:00,1,"MACDクロス(12,21,12)",20.0,118.9,-60.0
2023-03-23 12:40:00,2023-03-23 13:45:00,1,"MACDクロス(12,21,12)",20.0,138.9,-40.0
2023-03-24 10:50:00,2023-03-24 12:50:00,1,"MACDクロス(12,21,12)",-20.0,118.9,-60.0
2023-04-26 09:55:00,2023-04-26 10:40:00,1,"MACDクロス(12,21,12)",-20.0,98.9,-80.0
2023-04-26 10:45:00,2023-04-26 15:30:00,1,"MACDクロス(12,21,12)",-20.0,78.9,-100.0
2023-05-04 09:20:00,2023-05-04 10:35:00,1,"MACDクロス(12,21,12)",-20.0,58.9,-120.0
2023-05-30 11:15:00,2023-05-30 12:35:00,1,"MACDクロス(12,21,12)",20.0,78.9,-100.0
2023-05-31 10:35:00,2023-05-31 14:20:00,1,"MACDクロス(12,21,12)",-20.0,58.9,-120.0
2023-06-01 10:20:00,2023-06-01 10:30:00,1,"MACDクロス(12,21,12)",-20.0,38.9,-140.0
2023-06-16 11:20:00,2023-06-16 11:45:00,1,"MACDクロス(12,21,12)",20.0,58.9,-120.0
2023-07-11 12:35:00,2023-07-11 13:40:00,1,"MACDクロス(12,21,12)",-20.0,38.9,-140.0
2023-07-12 10:50:00,2023-07-12 11:10:00,1,"MACDクロス(12,21,12)",20.0,58.9,-120.0
2023-07-12 13:45:00,2023-07-12 15:25:00,1,"MACDクロス(12,21,12)",20.0,78.9,-100.0
2023-07-13 09:45:00,2023-07-13 09:50:00,1,"MACDクロス(12,21,12)",20.0,98.9,-80.0
2023-07-14 09:45:00,2023-07-14 09:55:00,1,"MACDクロス(12,21,12)",-20.0,78.9,-100.0
2023-07-14 10:00:00,2023-07-14 10:35:00,1,"MACDクロス(12,21,12)",20.0,98.9,-80.0
2023-07-14 11:20:00,2023-07-14 13:45:00,1,"MACDクロス(12,21,12)",20.0,118.9,-60.0
2023-07-20 11:15:00,2023-07-20 14:35:00,1,"MACDクロス(12,21,12)",20.0,138.9,-40.0
2023-07-27 11:50:00,2023-07-27 13:00:00,1,"MACDクロス(12,21,12)",20.0,158.9,-20.0
2023-07-28 09:15:00,2023-07-28 09:45:00,1,"MACDクロス(12,21,12)",20.0,178.9,0.0
2023-07-28 14:25:00,2023-07-28 14:30:00,1,"MACDクロス(12,21,12)",20.0,198.9,0.0
2023-08-07 10:15:00,2023-08-07 12:35:00,1,"MACDクロス(12,21,12)",20.0,218.9,0.0
2023-09-01 11:05:00,2023-09-01 20:55:00,1,"MACDクロス(12,21,12)",-20.0,198.9,-20.0
2023-09-08 10:20:00,2023-09-08 16:20:00,1,"MACDクロス(12,21,12)",20.0,218.9,0.0
2023-09-11 09:05:00,2023-09-11 11:25:00,1,"MACDクロス(12,21,12)",20.0,238.9,0.0
2023-09-11 13:00:00,2023-09-11 13:00:00,1,"MACDクロス(12,21,12)",20.0,258.9,0.0
2023-09-11 13:30:00,2023-09-11 14:05:00,1,"MACDクロス(12,21,12)",20.0,278.9,0.0
2023-09-11 14:40:00,2023-09-11 15:10:00,1,"MACDクロス(12,21,12)",-20.0,258.9,-20.0
2023-10-05 11:15:00,2023-10-05 12:20:00,1,"MACDクロス(12,21,12)",20.0,278.9,0.0
2023-10-10 09:25:00,2023-10-10 13:20:00,1,"MACDクロス(12,21,12)",20.0,298.9,0.0
2023-11-02 09:00:00,2023-11-02 09:35:00,1,"MACDクロス(12,21,12)",20.0,318.9,0.0
2023-11-02 09:55:00,2023-11-02 10:50:00,1,"MACDクロス(12,21,12)",-20.0,298.9,-20.0
2023-11-02 11:20:00,2023-11-02 12:40:00,1,"MACDクロス(12,21,12)",-20.0,278.9,-40.0
2023-11-17 12:15:00,2023-11-17 17:25:00,1,"MACDクロス(12,21,12)",-20.0,258.9,-60.0
2023-11-20 12:25:00,2023-11-20 12:45:00,1,"MACDクロス(12,21,12)",-20.0,238.9,-80.0
2023-11-20 13:20:00,2023-11-20 13:40:00,1,"MACDクロス(12,21,12)",-20.0,218.9,-100.0
2023-11-21 09:40:00,2023-11-21 09:50:00,1,"MACDクロス(12,21,12)",20.0,238.9,-80.0
2023-11-21 11:10:00,2023-11-21 11:15:00,1,"MACDクロス(12,21,12)",-20.0,218.9,-100.0
2023-11-21 13:25:00,2023-11-21 14:40:00,1,"MACDクロス(12,21,12)",20.0,238.9,-80.0
2023-11-27 11:20:00,2023-11-27 12:00:00,1,"MACDクロス(12,21,12)",-20.0,218.9,-100.0
2023-11-27 12:15:00,2023-11-27 16:10:00,1,"MACDクロス(12,21,12)",20.0,238.9,-80.0
2023-11-28 10:20:00,2023-11-28 10:25:00,1,"MACDクロス(12,21,12)",20.0,258.9,-60.0
2023-11-28 11:35:00,2023-11-28 12:40:00,1,"MACDクロス(12,21,12)",-20.0,238.9,-80.0
2023-11-29 09:10:00,2023-11-29 09:40:00,1,"MACDクロス(12,21,12)",-20.0,218.9,-100.0
